Year,Variable,Country,Unit,PowerCode,Value
2005,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,6533.0
2006,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,4266.0
2007,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,4701.0
2008,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,6115.0
2009,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,5586.0
2010,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,6159.0
2011,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,4992.0
2012,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,3504.0
2013,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,3110.0
2014,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,6142.0
2015,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,5213.0
2016,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,4690.0
2017,Volumes salvaged,Slovak Republic,Cubic metres,Thousands,4941.0
2000,Volumes salvaged,Sweden,Cubic metres,Thousands,2120.0
2005,Volumes salvaged,Sweden,Cubic metres,Thousands,8803.0
2009,Volumes salvaged,Sweden,Cubic metres,Thousands,1500.0
2010,Volumes salvaged,Sweden,Cubic metres,Thousands,1600.0
2011,Volumes salvaged,Sweden,Cubic metres,Thousands,1900.0
2000,Volumes salvaged,Switzerland,Cubic metres,Thousands,3038.0
2005,Volumes salvaged,Switzerland,Cubic metres,Thousands,1990.0
2010,Volumes salvaged,Switzerland,Cubic metres,Thousands,899.9
2015,Volumes salvaged,Switzerland,Cubic metres,Thousands,899.9
2000,Volumes salvaged,Chile,Cubic metres,Thousands,177.55
2005,Volumes salvaged,Chile,Cubic metres,Thousands,122.6
2009,Volumes salvaged,Chile,Cubic metres,Thousands,330.7
2000,Volumes salvaged,Estonia,Cubic metres,Thousands,508.749
2001,Volumes salvaged,Estonia,Cubic metres,Thousands,484.68800000000005
2002,Volumes salvaged,Estonia,Cubic metres,Thousands,382.473
2003,Volumes salvaged,Estonia,Cubic metres,Thousands,590.6
2004,Volumes salvaged,Estonia,Cubic metres,Thousands,693.862
2005,Volumes salvaged,Estonia,Cubic metres,Thousands,890.61
2006,Volumes salvaged,Estonia,Cubic metres,Thousands,589.999
2007,Volumes salvaged,Estonia,Cubic metres,Thousands,477.05300000000005
2008,Volumes salvaged,Estonia,Cubic metres,Thousands,342.652
2009,Volumes salvaged,Estonia,Cubic metres,Thousands,573.612
2010,Volumes salvaged,Estonia,Cubic metres,Thousands,665.765
2011,Volumes salvaged,Estonia,Cubic metres,Thousands,816.2669999999999
2012,Volumes salvaged,Estonia,Cubic metres,Thousands,911.8760000000001
2013,Volumes salvaged,Estonia,Cubic metres,Thousands,774.618
2014,Volumes salvaged,Estonia,Cubic metres,Thousands,656.947
2015,Volumes salvaged,Estonia,Cubic metres,Thousands,487.98900000000003
2016,Volumes salvaged,Estonia,Cubic metres,Thousands,731.905
2017,Volumes salvaged,Estonia,Cubic metres,Thousands,699.928
2000,Net fellings,Australia,Cubic metres,Thousands,24407.0
2005,Net fellings,Australia,Cubic metres,Thousands,26998.0
2009,Net fellings,Australia,Cubic metres,Thousands,25624.0
2000,Net fellings,Czech Republic,Cubic metres,Thousands,12361.0
2001,Net fellings,Czech Republic,Cubic metres,Thousands,13301.0
2002,Net fellings,Czech Republic,Cubic metres,Thousands,11446.0
2003,Net fellings,Czech Republic,Cubic metres,Thousands,7698.0
2004,Net fellings,Czech Republic,Cubic metres,Thousands,11329.0
2005,Net fellings,Czech Republic,Cubic metres,Thousands,12160.0
2006,Net fellings,Czech Republic,Cubic metres,Thousands,10696.0
2007,Net fellings,Czech Republic,Cubic metres,Thousands,4016.0
2008,Net fellings,Czech Republic,Cubic metres,Thousands,6027.0
2009,Net fellings,Czech Republic,Cubic metres,Thousands,9831.0
2010,Net fellings,Czech Republic,Cubic metres,Thousands,11814.0
2011,Net fellings,Czech Republic,Cubic metres,Thousands,12813.0
2012,Net fellings,Czech Republic,Cubic metres,Thousands,13105.0
2013,Net fellings,Czech Republic,Cubic metres,Thousands,12283.0
2014,Net fellings,Czech Republic,Cubic metres,Thousands,12135.0
2015,Net fellings,Czech Republic,Cubic metres,Thousands,8877.0
2016,Net fellings,Czech Republic,Cubic metres,Thousands,9108.0
2017,Net fellings,Czech Republic,Cubic metres,Thousands,8472.0
2012,Net fellings,Denmark,Cubic metres,Thousands,3944.0
2013,Net fellings,Denmark,Cubic metres,Thousands,4157.0
2014,Net fellings,Denmark,Cubic metres,Thousands,4293.0
2015,Net fellings,Denmark,Cubic metres,Thousands,3755.0
2016,Net fellings,Denmark,Cubic metres,Thousands,3844.0
2017,Net fellings,Denmark,Cubic metres,Thousands,4140.718
2005,Net fellings,Finland,Cubic metres,Thousands,61444.0
2006,Net fellings,Finland,Cubic metres,Thousands,59695.0
2007,Net fellings,Finland,Cubic metres,Thousands,66614.0
2008,Net fellings,Finland,Cubic metres,Thousands,63064.0
2009,Net fellings,Finland,Cubic metres,Thousands,53032.0
2010,Net fellings,Finland,Cubic metres,Thousands,64426.0
2011,Net fellings,Finland,Cubic metres,Thousands,65173.0
2012,Net fellings,Finland,Cubic metres,Thousands,64638.0
2013,Net fellings,Finland,Cubic metres,Thousands,69987.0
2014,Net fellings,Finland,Cubic metres,Thousands,70030.0
2015,Net fellings,Finland,Cubic metres,Thousands,72771.0
2016,Net fellings,Finland,Cubic metres,Thousands,75924.0
2017,Net fellings,Finland,Cubic metres,Thousands,78028.0
2000,Net fellings,Germany,Cubic metres,Thousands,91174.993
2001,Net fellings,Germany,Cubic metres,Thousands,72314.569
2002,Net fellings,Germany,Cubic metres,Thousands,76350.41
2003,Net fellings,Germany,Cubic metres,Thousands,87561.641
2004,Net fellings,Germany,Cubic metres,Thousands,97802.409
2005,Net fellings,Germany,Cubic metres,Thousands,101778.43400000001
2006,Net fellings,Germany,Cubic metres,Thousands,109954.993
2007,Net fellings,Germany,Cubic metres,Thousands,124192.00300000001
2008,Net fellings,Germany,Cubic metres,Thousands,101603.93199999999
2009,Net fellings,Germany,Cubic metres,Thousands,87868.686
2010,Net fellings,Germany,Cubic metres,Thousands,101200.015
2011,Net fellings,Germany,Cubic metres,Thousands,93409.229
2012,Net fellings,Germany,Cubic metres,Thousands,93821.429
2013,Net fellings,Germany,Cubic metres,Thousands,87237.81199999999
2014,Net fellings,Germany,Cubic metres,Thousands,86927.66900000001
2015,Net fellings,Germany,Cubic metres,Thousands,88504.991
2016,Net fellings,Germany,Cubic metres,Thousands,85341.73199999999
2000,Net fellings,Hungary,Cubic metres,Thousands,5902.0
2001,Net fellings,Hungary,Cubic metres,Thousands,5810.0
2002,Net fellings,Hungary,Cubic metres,Thousands,5836.0
2003,Net fellings,Hungary,Cubic metres,Thousands,5784.0
2004,Net fellings,Hungary,Cubic metres,Thousands,5660.0
2005,Net fellings,Hungary,Cubic metres,Thousands,5940.0
2006,Net fellings,Hungary,Cubic metres,Thousands,5913.0
2007,Net fellings,Hungary,Cubic metres,Thousands,5640.0
2008,Net fellings,Hungary,Cubic metres,Thousands,5957.0
2009,Net fellings,Hungary,Cubic metres,Thousands,5890.0
2010,Net fellings,Hungary,Cubic metres,Thousands,6406.0
2011,Net fellings,Hungary,Cubic metres,Thousands,6950.0
2012,Net fellings,Hungary,Cubic metres,Thousands,6611.0
2013,Net fellings,Hungary,Cubic metres,Thousands,6731.0
2014,Net fellings,Hungary,Cubic metres,Thousands,6404.0
2015,Net fellings,Hungary,Cubic metres,Thousands,6344.0
2016,Net fellings,Hungary,Cubic metres,Thousands,6176.0
2017,Net fellings,Hungary,Cubic metres,Thousands,6317.0
2000,Net fellings,Italy,Cubic metres,Thousands,14327.0
2005,Net fellings,Italy,Cubic metres,Thousands,13298.0
2010,Net fellings,Italy,Cubic metres,Thousands,12755.0
2006,Net fellings,Korea,Cubic metres,Thousands,3439.0
2007,Net fellings,Korea,Cubic metres,Thousands,4454.0
2008,Net fellings,Korea,Cubic metres,Thousands,4678.0
2009,Net fellings,Korea,Cubic metres,Thousands,7655.0
2010,Net fellings,Korea,Cubic metres,Thousands,8571.0
2011,Net fellings,Korea,Cubic metres,Thousands,9631.0
2012,Net fellings,Korea,Cubic metres,Thousands,10345.0
2013,Net fellings,Korea,Cubic metres,Thousands,8786.0
2014,Net fellings,Korea,Cubic metres,Thousands,8139.0
2015,Net fellings,Korea,Cubic metres,Thousands,7312.0
2016,Net fellings,Korea,Cubic metres,Thousands,6958.0
2017,Net fellings,Korea,Cubic metres,Thousands,5948.0
2011,Net fellings,Luxembourg,Cubic metres,Thousands,515.0
2012,Net fellings,Luxembourg,Cubic metres,Thousands,363.0
2013,Net fellings,Luxembourg,Cubic metres,Thousands,356.0
2014,Net fellings,Luxembourg,Cubic metres,Thousands,391.0
2015,Net fellings,Luxembourg,Cubic metres,Thousands,438.0
2016,Net fellings,Luxembourg,Cubic metres,Thousands,382.0
2017,Net fellings,Luxembourg,Cubic metres,Thousands,432.0
2010,Net fellings,Netherlands,Cubic metres,Thousands,1245.0
2013,Net fellings,Netherlands,Cubic metres,Thousands,1230.0
2017,Net fellings,Netherlands,Cubic metres,Thousands,1284.0
2000,Net fellings,Poland,Cubic metres,Thousands,27657.0
2005,Net fellings,Poland,Cubic metres,Thousands,31945.0
2009,Net fellings,Poland,Cubic metres,Thousands,32400.0
2010,Net fellings,Poland,Cubic metres,Thousands,35467.0
2013,Net fellings,Poland,Cubic metres,Thousands,37946.0
2000,Net fellings,Portugal,Cubic metres,Thousands,12018.0
2001,Net fellings,Portugal,Cubic metres,Thousands,11314.356000000002
2002,Net fellings,Portugal,Cubic metres,Thousands,10926.086000000001
2003,Net fellings,Portugal,Cubic metres,Thousands,12066.696000000002
2004,Net fellings,Portugal,Cubic metres,Thousands,13605.221000000001
2005,Net fellings,Portugal,Cubic metres,Thousands,13518.0
2006,Net fellings,Portugal,Cubic metres,Thousands,13424.204
2007,Net fellings,Portugal,Cubic metres,Thousands,13475.59
2008,Net fellings,Portugal,Cubic metres,Thousands,12596.669
2009,Net fellings,Portugal,Cubic metres,Thousands,11879.25
2000,Net fellings,Slovak Republic,Cubic metres,Thousands,3197.0
2001,Net fellings,Slovak Republic,Cubic metres,Thousands,3743.0
2002,Net fellings,Slovak Republic,Cubic metres,Thousands,4090.0
2003,Net fellings,Slovak Republic,Cubic metres,Thousands,3976.0
2004,Net fellings,Slovak Republic,Cubic metres,Thousands,4352.0
2005,Net fellings,Slovak Republic,Cubic metres,Thousands,3658.0
2006,Net fellings,Slovak Republic,Cubic metres,Thousands,4091.0
2007,Net fellings,Slovak Republic,Cubic metres,Thousands,3666.0
2008,Net fellings,Slovak Republic,Cubic metres,Thousands,3352.0
2009,Net fellings,Slovak Republic,Cubic metres,Thousands,3662.0
2010,Net fellings,Slovak Republic,Cubic metres,Thousands,3701.0
2011,Net fellings,Slovak Republic,Cubic metres,Thousands,4475.0
2012,Net fellings,Slovak Republic,Cubic metres,Thousands,4728.0
2013,Net fellings,Slovak Republic,Cubic metres,Thousands,4727.0
2014,Net fellings,Slovak Republic,Cubic metres,Thousands,3275.0
2015,Net fellings,Slovak Republic,Cubic metres,Thousands,4036.0
2016,Net fellings,Slovak Republic,Cubic metres,Thousands,4631.0
2017,Net fellings,Slovak Republic,Cubic metres,Thousands,4452.0
2000,Net fellings,Sweden,Cubic metres,Thousands,69080.0
2005,Net fellings,Sweden,Cubic metres,Thousands,77597.0
2009,Net fellings,Sweden,Cubic metres,Thousands,76900.0
2010,Net fellings,Sweden,Cubic metres,Thousands,88700.0
2011,Net fellings,Sweden,Cubic metres,Thousands,86200.0
2012,Net fellings,Sweden,Cubic metres,Thousands,83400.0
2013,Net fellings,Sweden,Cubic metres,Thousands,83500.0
2014,Net fellings,Sweden,Cubic metres,Thousands,88000.0
2015,Net fellings,Sweden,Cubic metres,Thousands,89100.0
2016,Net fellings,Sweden,Cubic metres,Thousands,89800.0
2017,Net fellings,Sweden,Cubic metres,Thousands,87400.0
2000,Net fellings,Switzerland,Cubic metres,Thousands,4800.0
2005,Net fellings,Switzerland,Cubic metres,Thousands,6086.0
2010,Net fellings,Switzerland,Cubic metres,Thousands,7389.0
2015,Net fellings,Switzerland,Cubic metres,Thousands,7605.0
2000,Net fellings,Chile,Cubic metres,Thousands,35714.49
2005,Net fellings,Chile,Cubic metres,Thousands,45584.62
2009,Net fellings,Chile,Cubic metres,Thousands,52365.74
2012,Net fellings,Chile,Cubic metres,Thousands,59659.0
2013,Net fellings,Chile,Cubic metres,Thousands,54400.0
2014,Net fellings,Chile,Cubic metres,Thousands,51907.0
2015,Net fellings,Chile,Cubic metres,Thousands,52006.0
2000,Net fellings,Estonia,Cubic metres,Thousands,10047.718
2001,Net fellings,Estonia,Cubic metres,Thousands,11918.583999999999
2002,Net fellings,Estonia,Cubic metres,Thousands,9751.832
2003,Net fellings,Estonia,Cubic metres,Thousands,9243.824
2004,Net fellings,Estonia,Cubic metres,Thousands,7407.9580000000005
2005,Net fellings,Estonia,Cubic metres,Thousands,7071.485
2006,Net fellings,Estonia,Cubic metres,Thousands,5147.212
2007,Net fellings,Estonia,Cubic metres,Thousands,4690.8820000000005
2008,Net fellings,Estonia,Cubic metres,Thousands,4296.545999999999
2009,Net fellings,Estonia,Cubic metres,Thousands,5775.893
2010,Net fellings,Estonia,Cubic metres,Thousands,7499.455
2011,Net fellings,Estonia,Cubic metres,Thousands,8174.229
2012,Net fellings,Estonia,Cubic metres,Thousands,9269.847
2013,Net fellings,Estonia,Cubic metres,Thousands,9317.106
2014,Net fellings,Estonia,Cubic metres,Thousands,9350.616
2015,Net fellings,Estonia,Cubic metres,Thousands,9558.302
2016,Net fellings,Estonia,Cubic metres,Thousands,10005.68
2017,Net fellings,Estonia,Cubic metres,Thousands,10292.072
2005,Natural losses,Austria,Cubic metres,Thousands,5486.0
2012,Natural losses,Denmark,Cubic metres,Thousands,352.0
2013,Natural losses,Denmark,Cubic metres,Thousands,397.0
2014,Natural losses,Denmark,Cubic metres,Thousands,424.0
2015,Natural losses,Denmark,Cubic metres,Thousands,443.0
2016,Natural losses,Denmark,Cubic metres,Thousands,473.0
2017,Natural losses,Denmark,Cubic metres,Thousands,488.718
2005,Natural losses,Finland,Cubic metres,Thousands,2760.0
2006,Natural losses,Finland,Cubic metres,Thousands,2760.0
2007,Natural losses,Finland,Cubic metres,Thousands,2760.0
2008,Natural losses,Finland,Cubic metres,Thousands,4736.0
2009,Natural losses,Finland,Cubic metres,Thousands,4736.0
2010,Natural losses,Finland,Cubic metres,Thousands,4736.0
2011,Natural losses,Finland,Cubic metres,Thousands,4736.0
2012,Natural losses,Finland,Cubic metres,Thousands,4736.0
2013,Natural losses,Finland,Cubic metres,Thousands,4736.0
2014,Natural losses,Finland,Cubic metres,Thousands,4736.0
2015,Natural losses,Finland,Cubic metres,Thousands,4736.0
2016,Natural losses,Finland,Cubic metres,Thousands,5602.0
2017,Natural losses,Finland,Cubic metres,Thousands,5602.0
2002,Natural losses,France,Cubic metres,Thousands,6787.0
2003,Natural losses,France,Cubic metres,Thousands,6904.0
2004,Natural losses,France,Cubic metres,Thousands,7007.0
2009,Natural losses,France,Cubic metres,Thousands,8708.0
2010,Natural losses,France,Cubic metres,Thousands,8655.0
2011,Natural losses,France,Cubic metres,Thousands,8800.0
2012,Natural losses,France,Cubic metres,Thousands,9126.0
2013,Natural losses,France,Cubic metres,Thousands,9354.0
2014,Natural losses,France,Cubic metres,Thousands,9768.0
2000,Natural losses,Germany,Cubic metres,Thousands,2890.0
2001,Natural losses,Germany,Cubic metres,Thousands,2897.0
2002,Natural losses,Germany,Cubic metres,Thousands,3790.012
2003,Natural losses,Germany,Cubic metres,Thousands,3783.926
2004,Natural losses,Germany,Cubic metres,Thousands,3775.9770000000003
2005,Natural losses,Germany,Cubic metres,Thousands,3765.116
2006,Natural losses,Germany,Cubic metres,Thousands,3757.199
2007,Natural losses,Germany,Cubic metres,Thousands,3751.6040000000003
2008,Natural losses,Germany,Cubic metres,Thousands,3745.075
2009,Natural losses,Germany,Cubic metres,Thousands,3738.453
2010,Natural losses,Germany,Cubic metres,Thousands,3697.8320000000003
2011,Natural losses,Germany,Cubic metres,Thousands,3691.3390000000004
2012,Natural losses,Germany,Cubic metres,Thousands,3684.455
2013,Natural losses,Germany,Cubic metres,Thousands,3685.336
2014,Natural losses,Germany,Cubic metres,Thousands,5158.981
2015,Natural losses,Germany,Cubic metres,Thousands,5252.590999999999
2016,Natural losses,Germany,Cubic metres,Thousands,5064.858
2007,Natural losses,Ireland,Cubic metres,Thousands,403.0
2008,Natural losses,Ireland,Cubic metres,Thousands,403.0
2009,Natural losses,Ireland,Cubic metres,Thousands,403.0
2010,Natural losses,Ireland,Cubic metres,Thousands,403.0
2011,Natural losses,Ireland,Cubic metres,Thousands,403.0
2012,Natural losses,Ireland,Cubic metres,Thousands,403.0
2013,Natural losses,Ireland,Cubic metres,Thousands,403.0
2014,Natural losses,Ireland,Cubic metres,Thousands,403.0
2015,Natural losses,Ireland,Cubic metres,Thousands,403.0
2016,Natural losses,Ireland,Cubic metres,Thousands,403.0
2017,Natural losses,Ireland,Cubic metres,Thousands,292.93
2000,Natural losses,Italy,Cubic metres,Thousands,4348.0
2005,Natural losses,Italy,Cubic metres,Thousands,4520.0
2010,Natural losses,Italy,Cubic metres,Thousands,4689.0
2015,Natural losses,Italy,Cubic metres,Thousands,4860.0
2000,Natural losses,Japan,Cubic metres,Thousands,837.0
2005,Natural losses,Japan,Cubic metres,Thousands,689.0
2006,Natural losses,Japan,Cubic metres,Thousands,644.0
2007,Natural losses,Japan,Cubic metres,Thousands,619.0
2008,Natural losses,Japan,Cubic metres,Thousands,626.0
2009,Natural losses,Japan,Cubic metres,Thousands,594.0
2010,Natural losses,Japan,Cubic metres,Thousands,582.0
2011,Natural losses,Japan,Cubic metres,Thousands,645.0
2012,Natural losses,Japan,Cubic metres,Thousands,643.0
2013,Natural losses,Japan,Cubic metres,Thousands,627.0
2014,Natural losses,Japan,Cubic metres,Thousands,561.0
2015,Natural losses,Japan,Cubic metres,Thousands,481.0
2016,Natural losses,Japan,Cubic metres,Thousands,440.0
2000,Natural losses,Korea,Cubic metres,Thousands,1373.0
2005,Natural losses,Korea,Cubic metres,Thousands,114.0
2006,Natural losses,Korea,Cubic metres,Thousands,8.0
2007,Natural losses,Korea,Cubic metres,Thousands,6.0
2008,Natural losses,Korea,Cubic metres,Thousands,5.0
2009,Natural losses,Korea,Cubic metres,Thousands,91.0
2010,Natural losses,Korea,Cubic metres,Thousands,11.0
2011,Natural losses,Korea,Cubic metres,Thousands,92.0
2012,Natural losses,Korea,Cubic metres,Thousands,475.0
2013,Natural losses,Korea,Cubic metres,Thousands,533.0
2014,Natural losses,Korea,Cubic metres,Thousands,836.0
2015,Natural losses,Korea,Cubic metres,Thousands,730.0
2016,Natural losses,Korea,Cubic metres,Thousands,507.0
2017,Natural losses,Korea,Cubic metres,Thousands,100.0
2011,Natural losses,Luxembourg,Cubic metres,Thousands,86.0
2012,Natural losses,Luxembourg,Cubic metres,Thousands,85.0
2013,Natural losses,Luxembourg,Cubic metres,Thousands,62.0
2014,Natural losses,Luxembourg,Cubic metres,Thousands,101.0
2015,Natural losses,Luxembourg,Cubic metres,Thousands,62.0
2016,Natural losses,Luxembourg,Cubic metres,Thousands,62.0
2017,Natural losses,Luxembourg,Cubic metres,Thousands,62.0
2000,Natural losses,Netherlands,Cubic metres,Thousands,155.0
2005,Natural losses,Netherlands,Cubic metres,Thousands,156.0
2010,Natural losses,Netherlands,Cubic metres,Thousands,157.0
2013,Natural losses,Netherlands,Cubic metres,Thousands,168.0
2017,Natural losses,Netherlands,Cubic metres,Thousands,158.0
2000,Natural losses,Norway,Cubic metres,Thousands,3713.0
2005,Natural losses,Norway,Cubic metres,Thousands,3884.0
2006,Natural losses,Norway,Cubic metres,Thousands,3788.0
2007,Natural losses,Norway,Cubic metres,Thousands,3612.0
2008,Natural losses,Norway,Cubic metres,Thousands,3542.0
2009,Natural losses,Norway,Cubic metres,Thousands,3524.0
2010,Natural losses,Norway,Cubic metres,Thousands,3551.0
2011,Natural losses,Norway,Cubic metres,Thousands,3585.0
2012,Natural losses,Norway,Cubic metres,Thousands,3620.0
2013,Natural losses,Norway,Cubic metres,Thousands,3657.0
2014,Natural losses,Norway,Cubic metres,Thousands,3694.0
2015,Natural losses,Norway,Cubic metres,Thousands,4188.0
2016,Natural losses,Norway,Cubic metres,Thousands,4188.0
2017,Natural losses,Norway,Cubic metres,Thousands,4188.0
2000,Natural losses,Poland,Cubic metres,Thousands,18118.0
2005,Natural losses,Poland,Cubic metres,Thousands,18400.0
2010,Natural losses,Poland,Cubic metres,Thousands,10300.0
2000,Natural losses,Portugal,Cubic metres,Thousands,1143.0
2005,Natural losses,Portugal,Cubic metres,Thousands,1132.0
2000,Natural losses,Spain,Cubic metres,Thousands,1551.741
2005,Natural losses,Spain,Cubic metres,Thousands,1633.685
2010,Natural losses,Spain,Cubic metres,Thousands,1715.628
2000,Natural losses,Sweden,Cubic metres,Thousands,4627.0
2005,Natural losses,Sweden,Cubic metres,Thousands,9387.0
2010,Natural losses,Sweden,Cubic metres,Thousands,5131.0
2015,Natural losses,Sweden,Cubic metres,Thousands,8297.0
2000,Natural losses,Switzerland,Cubic metres,Thousands,2041.0
2005,Natural losses,Switzerland,Cubic metres,Thousands,1901.0
2010,Natural losses,Switzerland,Cubic metres,Thousands,1749.0
2015,Natural losses,Switzerland,Cubic metres,Thousands,1592.0
2000,Natural losses,Turkey,Cubic metres,Thousands,2256.0
2005,Natural losses,Turkey,Cubic metres,Thousands,1789.0
2009,Natural losses,Turkey,Cubic metres,Thousands,4170.0
2011,Natural losses,Turkey,Cubic metres,Thousands,3245.0
2012,Natural losses,Turkey,Cubic metres,Thousands,3073.0
2013,Natural losses,Turkey,Cubic metres,Thousands,4014.0
2014,Natural losses,Turkey,Cubic metres,Thousands,2567.0
2015,Natural losses,Turkey,Cubic metres,Thousands,5246.0
2016,Natural losses,Turkey,Cubic metres,Thousands,3324.0
2017,Natural losses,Turkey,Cubic metres,Thousands,2763.0
2000,Natural losses,United States,Cubic metres,Thousands,169248.0
2001,Natural losses,United States,Cubic metres,Thousands,178586.0
2002,Natural losses,United States,Cubic metres,Thousands,187211.0
2003,Natural losses,United States,Cubic metres,Thousands,195836.0
2004,Natural losses,United States,Cubic metres,Thousands,204461.0
2005,Natural losses,United States,Cubic metres,Thousands,213086.0
2006,Natural losses,United States,Cubic metres,Thousands,221713.0
2007,Natural losses,United States,Cubic metres,Thousands,228448.0
2008,Natural losses,United States,Cubic metres,Thousands,235183.0
2009,Natural losses,United States,Cubic metres,Thousands,241918.0
2010,Natural losses,United States,Cubic metres,Thousands,248653.0
2011,Natural losses,United States,Cubic metres,Thousands,255389.0
2000,Natural losses,Chile,Cubic metres,Thousands,4116.79
2005,Natural losses,Chile,Cubic metres,Thousands,2454.1
2009,Natural losses,Chile,Cubic metres,Thousands,2818.05
2012,Natural losses,Chile,Cubic metres,Thousands,5152.0
2000,Natural losses,Slovenia,Cubic metres,Thousands,1035.0
2005,Natural losses,Slovenia,Cubic metres,Thousands,1044.0
2006,Natural losses,Slovenia,Cubic metres,Thousands,1045.0
2007,Natural losses,Slovenia,Cubic metres,Thousands,1047.0
2008,Natural losses,Slovenia,Cubic metres,Thousands,1049.0
2009,Natural losses,Slovenia,Cubic metres,Thousands,1051.0
2005,Gross Increment,Austria,Cubic metres,Thousands,30622.0
2000,Gross Increment,Belgium,Cubic metres,Thousands,5289.0
2005,Gross Increment,Belgium,Cubic metres,Thousands,5289.0
2010,Gross Increment,Belgium,Cubic metres,Thousands,4951.334
2012,Gross Increment,Belgium,Cubic metres,Thousands,4601.401
2000,Gross Increment,Czech Republic,Cubic metres,Thousands,21944.0
2001,Gross Increment,Czech Republic,Cubic metres,Thousands,22277.0
2002,Gross Increment,Czech Republic,Cubic metres,Thousands,22332.0
2003,Gross Increment,Czech Republic,Cubic metres,Thousands,22356.0
2004,Gross Increment,Czech Republic,Cubic metres,Thousands,22548.0
2005,Gross Increment,Czech Republic,Cubic metres,Thousands,22680.0
2006,Gross Increment,Czech Republic,Cubic metres,Thousands,22804.0
2007,Gross Increment,Czech Republic,Cubic metres,Thousands,22961.0
2008,Gross Increment,Czech Republic,Cubic metres,Thousands,23083.0
2009,Gross Increment,Czech Republic,Cubic metres,Thousands,23988.0
2010,Gross Increment,Czech Republic,Cubic metres,Thousands,23539.0
2011,Gross Increment,Czech Republic,Cubic metres,Thousands,23767.0
2012,Gross Increment,Czech Republic,Cubic metres,Thousands,23909.0
2013,Gross Increment,Czech Republic,Cubic metres,Thousands,24071.0
2014,Gross Increment,Czech Republic,Cubic metres,Thousands,24209.0
2015,Gross Increment,Czech Republic,Cubic metres,Thousands,24175.0
2016,Gross Increment,Czech Republic,Cubic metres,Thousands,24380.0
2017,Gross Increment,Czech Republic,Cubic metres,Thousands,24518.0
2000,Gross Increment,Denmark,Cubic metres,Thousands,5382.0
2005,Gross Increment,Denmark,Cubic metres,Thousands,4854.6
2010,Gross Increment,Denmark,Cubic metres,Thousands,5049.06
2012,Gross Increment,Denmark,Cubic metres,Thousands,6711.0
2013,Gross Increment,Denmark,Cubic metres,Thousands,6920.0
2014,Gross Increment,Denmark,Cubic metres,Thousands,7708.0
2015,Gross Increment,Denmark,Cubic metres,Thousands,7331.0
2016,Gross Increment,Denmark,Cubic metres,Thousands,6797.0
2017,Gross Increment,Denmark,Cubic metres,Thousands,6345.670999999999
2000,Gross Increment,Finland,Cubic metres,Thousands,94070.0
2001,Gross Increment,Finland,Cubic metres,Thousands,95880.0
2002,Gross Increment,Finland,Cubic metres,Thousands,97690.0
2003,Gross Increment,Finland,Cubic metres,Thousands,99500.0
2004,Gross Increment,Finland,Cubic metres,Thousands,100690.0
2005,Gross Increment,Finland,Cubic metres,Thousands,101890.0
2006,Gross Increment,Finland,Cubic metres,Thousands,103080.0
2007,Gross Increment,Finland,Cubic metres,Thousands,104280.0
2008,Gross Increment,Finland,Cubic metres,Thousands,105470.0
2009,Gross Increment,Finland,Cubic metres,Thousands,105780.0
2010,Gross Increment,Finland,Cubic metres,Thousands,106080.0
2011,Gross Increment,Finland,Cubic metres,Thousands,106390.0
2012,Gross Increment,Finland,Cubic metres,Thousands,106690.0
2013,Gross Increment,Finland,Cubic metres,Thousands,107000.0
2014,Gross Increment,Finland,Cubic metres,Thousands,107000.0
2015,Gross Increment,Finland,Cubic metres,Thousands,107000.0
2016,Gross Increment,Finland,Cubic metres,Thousands,107000.0
2017,Gross Increment,Finland,Cubic metres,Thousands,107000.0
2002,Gross Increment,France,Cubic metres,Thousands,97496.0
2003,Gross Increment,France,Cubic metres,Thousands,99010.0
2004,Gross Increment,France,Cubic metres,Thousands,100581.0
2009,Gross Increment,France,Cubic metres,Thousands,89939.0
2010,Gross Increment,France,Cubic metres,Thousands,91319.0
2011,Gross Increment,France,Cubic metres,Thousands,91929.0
2012,Gross Increment,France,Cubic metres,Thousands,92219.0
2013,Gross Increment,France,Cubic metres,Thousands,92385.0
2014,Gross Increment,France,Cubic metres,Thousands,91806.0
2000,Gross Increment,Germany,Cubic metres,Thousands,121650.554
2001,Gross Increment,Germany,Cubic metres,Thousands,121921.632
2002,Gross Increment,Germany,Cubic metres,Thousands,119921.023
2003,Gross Increment,Germany,Cubic metres,Thousands,119728.50099999999
2004,Gross Increment,Germany,Cubic metres,Thousands,119476.99
2005,Gross Increment,Germany,Cubic metres,Thousands,119133.362
2006,Gross Increment,Germany,Cubic metres,Thousands,118882.87599999999
2007,Gross Increment,Germany,Cubic metres,Thousands,118705.855
