Year,Country,Variable,Value
2009,OECD - Europe,Municipal waste generated,280314.719
2010,OECD - Europe,Municipal waste generated,278835.781
2011,OECD - Europe,Municipal waste generated,277873.688
2012,OECD - Europe,Municipal waste generated,273270.563
2013,OECD - Europe,Municipal waste generated,270765.156
2014,OECD - Europe,Municipal waste generated,271819.625
2015,OECD - Europe,Municipal waste generated,273980.406
2016,OECD - Europe,Municipal waste generated,281735.625
2017,OECD - Europe,Municipal waste generated,282036.5
2000,Turkey,Recycling,0
2001,Turkey,Recycling,0
2002,Turkey,Recycling,0
2003,Turkey,Recycling,0
2004,Turkey,Recycling,0
2005,Turkey,Recycling,0
2006,Turkey,Recycling,0
2007,Turkey,Recycling,0
2008,Turkey,Recycling,0
2009,Turkey,Recycling,0
2010,Turkey,Recycling,0
2011,Turkey,Recycling,0
2012,Turkey,Recycling,0
2013,Turkey,Recycling,0
2014,Turkey,Recycling,0
2016,Turkey,Recycling,2946
2017,Turkey,Recycling,2982
2003,Colombia,Municipal waste generated,5289
2004,Colombia,Municipal waste generated,6128
2005,Colombia,Municipal waste generated,7567
2006,Colombia,Municipal waste generated,7580
2007,Colombia,Municipal waste generated,9192
2008,Colombia,Municipal waste generated,11273
2009,Colombia,Municipal waste generated,8980
2010,Colombia,Municipal waste generated,9686
2011,Colombia,Municipal waste generated,8975
2015,Colombia,Municipal waste generated,11189
2005,Colombia,Municipal waste treated,7567.05
2006,Colombia,Municipal waste treated,7580.46
2007,Colombia,Municipal waste treated,9191.97
2008,Colombia,Municipal waste treated,11273.44
2009,Colombia,Municipal waste treated,8980.2
2010,Colombia,Municipal waste treated,9686.01
2011,Colombia,Municipal waste treated,8974
2015,Colombia,Municipal waste treated,11189.69
2005,Colombia,Landfill,5468.14
2006,Colombia,Landfill,6088.6
2007,Colombia,Landfill,8142.24
2008,Colombia,Landfill,10095.17
2009,Colombia,Landfill,8274.04
2010,Colombia,Landfill,9088.87
2011,Colombia,Landfill,8318
2012,Colombia,Landfill,7991.63
2013,Colombia,Landfill,8174.04
2014,Colombia,Landfill,8174.17
2015,Colombia,Landfill,9663.19
2000,Latvia,Municipal waste generated,642
2001,Latvia,Municipal waste generated,713
2002,Latvia,Municipal waste generated,793
2003,Latvia,Municipal waste generated,695
2004,Latvia,Municipal waste generated,720.38
2005,Latvia,Municipal waste generated,716
2006,Latvia,Municipal waste generated,760
2007,Latvia,Municipal waste generated,860.92
2008,Latvia,Municipal waste generated,751.92
2009,Latvia,Municipal waste generated,752.96
2010,Latvia,Municipal waste generated,680.14
2011,Latvia,Municipal waste generated,720.64
2012,Latvia,Municipal waste generated,657.61
2013,Latvia,Municipal waste generated,704
2014,Latvia,Municipal waste generated,726
2015,Latvia,Municipal waste generated,798.06
2016,Latvia,Municipal waste generated,802.47
2017,Latvia,Municipal waste generated,850.68
2000,Latvia,Municipal waste treated,597.32
2001,Latvia,Municipal waste treated,640
2002,Latvia,Municipal waste treated,673.27
2003,Latvia,Municipal waste treated,605.79
2004,Latvia,Municipal waste treated,647.08
2005,Latvia,Municipal waste treated,595.56
2006,Latvia,Municipal waste treated,708.87
2007,Latvia,Municipal waste treated,781.99
2008,Latvia,Municipal waste treated,756.23
2009,Latvia,Municipal waste treated,752.96
2010,Latvia,Municipal waste treated,680.1
2011,Latvia,Municipal waste treated,601.21
2012,Latvia,Municipal waste treated,615.14
2013,Latvia,Municipal waste treated,715.11
2014,Latvia,Municipal waste treated,721.79
2015,Latvia,Municipal waste treated,738.37
2016,Latvia,Municipal waste treated,736.85
2017,Latvia,Municipal waste treated,737.35
2000,Latvia,Recycling,0
2001,Latvia,Recycling,0
2002,Latvia,Recycling,3.12
2003,Latvia,Recycling,13.65
2004,Latvia,Recycling,24.68
2005,Latvia,Recycling,26.29
2006,Latvia,Recycling,28.99
2007,Latvia,Recycling,38.35
2008,Latvia,Recycling,42.75
2009,Latvia,Recycling,55.53
2010,Latvia,Recycling,59.63
2011,Latvia,Recycling,62.15
2012,Latvia,Recycling,83.53
2013,Latvia,Recycling,142
2014,Latvia,Recycling,170
2015,Latvia,Recycling,182
2016,Latvia,Recycling,120.85
2017,Latvia,Recycling,141.33
2000,Latvia,Landfill,597.32
2001,Latvia,Landfill,627.66
2002,Latvia,Landfill,657.48
2003,Latvia,Landfill,578.86
2004,Latvia,Landfill,600.6
2005,Latvia,Landfill,561
2006,Latvia,Landfill,670
2007,Latvia,Landfill,735.06
2008,Latvia,Landfill,704.75
2009,Latvia,Landfill,694.14
2010,Latvia,Landfill,616.55
2011,Latvia,Landfill,530.96
2012,Latvia,Landfill,515.94
2013,Latvia,Landfill,521
2014,Latvia,Landfill,515
2015,Latvia,Landfill,494
2016,Latvia,Landfill,353.86
2017,Latvia,Landfill,230.62
2010,Costa Rica,Municipal waste generated,1506
2011,Costa Rica,Municipal waste generated,1659
2012,Costa Rica,Municipal waste generated,1698
2013,Costa Rica,Municipal waste generated,1752
2014,Costa Rica,Municipal waste generated,1788
2015,Costa Rica,Municipal waste generated,1877
2016,Costa Rica,Municipal waste generated,1218
2017,Costa Rica,Municipal waste generated,1267
2010,Costa Rica,Municipal waste treated,915
2011,Costa Rica,Municipal waste treated,1002
2012,Costa Rica,Municipal waste treated,1123
2013,Costa Rica,Municipal waste treated,1174
2014,Costa Rica,Municipal waste treated,1240
2015,Costa Rica,Municipal waste treated,1869.7
2016,Costa Rica,Municipal waste treated,1061.4
2017,Costa Rica,Municipal waste treated,1267
2010,Costa Rica,Landfill,686
2011,Costa Rica,Landfill,748
2012,Costa Rica,Landfill,860
2013,Costa Rica,Landfill,903
2014,Costa Rica,Landfill,949
2015,Costa Rica,Landfill,1813
2016,Costa Rica,Landfill,988.4
2017,Costa Rica,Landfill,1043.5
2012,India,Waste from households,31875.532
2012,India,Landfill,21394.077
2000,Lithuania,Municipal waste generated,1275.92
2001,Lithuania,Municipal waste generated,1313.45
2002,Lithuania,Municipal waste generated,1395.1
2003,Lithuania,Municipal waste generated,1327.61
2004,Lithuania,Municipal waste generated,1260.12
2005,Lithuania,Municipal waste generated,1287.37
2006,Lithuania,Municipal waste generated,1325.72
2007,Lithuania,Municipal waste generated,1353.61
2008,Lithuania,Municipal waste generated,1368.98
2009,Lithuania,Municipal waste generated,1205.53
2010,Lithuania,Municipal waste generated,1252.62
2011,Lithuania,Municipal waste generated,1339.28
2012,Lithuania,Municipal waste generated,1330.16
2013,Lithuania,Municipal waste generated,1280.05
2014,Lithuania,Municipal waste generated,1270.25
2015,Lithuania,Municipal waste generated,1300
2016,Lithuania,Municipal waste generated,1272.06
2017,Lithuania,Municipal waste generated,1286.43
2000,Lithuania,Waste from households,893.144
2001,Lithuania,Waste from households,919.415
2002,Lithuania,Waste from households,976.57
2003,Lithuania,Waste from households,929.327
2004,Lithuania,Waste from households,882.084
2005,Lithuania,Waste from households,901.159
2006,Lithuania,Waste from households,928.004
2007,Lithuania,Waste from households,947.527
2008,Lithuania,Waste from households,958.286
2009,Lithuania,Waste from households,843.871
2010,Lithuania,Waste from households,876.832
2011,Lithuania,Waste from households,937.496
2012,Lithuania,Waste from households,931.114
2013,Lithuania,Waste from households,896.034
2014,Lithuania,Waste from households,889.171
2015,Lithuania,Waste from households,909.999
2016,Lithuania,Waste from households,890.44
2017,Lithuania,Waste from households,900.5
2000,Lithuania,Other municipal waste,382.776
2001,Lithuania,Other municipal waste,394.035
2002,Lithuania,Other municipal waste,418.53
2003,Lithuania,Other municipal waste,398.283
2004,Lithuania,Other municipal waste,378.036
2005,Lithuania,Other municipal waste,386.211
2006,Lithuania,Other municipal waste,397.716
2007,Lithuania,Other municipal waste,406.083
2008,Lithuania,Other municipal waste,410.694
2009,Lithuania,Other municipal waste,361.659
2010,Lithuania,Other municipal waste,375.785
2011,Lithuania,Other municipal waste,401.784
2012,Lithuania,Other municipal waste,399.049
2013,Lithuania,Other municipal waste,384.014
2014,Lithuania,Other municipal waste,381.073
2015,Lithuania,Other municipal waste,389.999
2016,Lithuania,Other municipal waste,381.62
2017,Lithuania,Other municipal waste,385.93
2000,Lithuania,Municipal waste treated,1209
2001,Lithuania,Municipal waste treated,1169
2002,Lithuania,Municipal waste treated,1119
2003,Lithuania,Municipal waste treated,1136
2004,Lithuania,Municipal waste treated,1176.52
2005,Lithuania,Municipal waste treated,1198.22
2006,Lithuania,Municipal waste treated,1236.69
2007,Lithuania,Municipal waste treated,1346.87
2008,Lithuania,Municipal waste treated,1352.53
2009,Lithuania,Municipal waste treated,1195.59
2010,Lithuania,Municipal waste treated,1142.5
2011,Lithuania,Municipal waste treated,1308.51
2012,Lithuania,Municipal waste treated,1283.02
2013,Lithuania,Municipal waste treated,1245.92
2014,Lithuania,Municipal waste treated,1247.29
2015,Lithuania,Municipal waste treated,1282.13
2016,Lithuania,Municipal waste treated,1211.02
2017,Lithuania,Municipal waste treated,1275.33
2000,Lithuania,Recycling,0
2001,Lithuania,Recycling,0
2002,Lithuania,Recycling,0
2003,Lithuania,Recycling,0
2004,Lithuania,Recycling,13.68
2005,Lithuania,Recycling,13.98
2006,Lithuania,Recycling,14.4
2007,Lithuania,Recycling,79.56
2008,Lithuania,Recycling,100.59
2009,Lithuania,Recycling,86.62
2010,Lithuania,Recycling,43.37
2011,Lithuania,Recycling,244.12
2012,Lithuania,Recycling,261.209
2013,Lithuania,Recycling,261.311
2014,Lithuania,Recycling,267.886
2015,Lithuania,Recycling,298.172
2016,Lithuania,Recycling,312.27
2017,Lithuania,Recycling,310.81
2000,Lithuania,Landfill,1209
2001,Lithuania,Landfill,1169
2002,Lithuania,Landfill,1119
2003,Lithuania,Landfill,1136
2004,Lithuania,Landfill,1152.57
2005,Lithuania,Landfill,1173.58
2006,Lithuania,Landfill,1211.35
2007,Lithuania,Landfill,1245.09
2008,Lithuania,Landfill,1236.87
2009,Lithuania,Landfill,1092.78
2010,Lithuania,Landfill,1078.706
2011,Lithuania,Landfill,1033.58
2012,Lithuania,Landfill,970.559
2013,Lithuania,Landfill,798.328
2014,Lithuania,Landfill,747.521
2015,Lithuania,Landfill,702.127
2016,Lithuania,Landfill,379.27
2017,Lithuania,Landfill,420.68
2015,Costa Rica,Recycling,17.6
2016,Costa Rica,Recycling,40
2017,Costa Rica,Recycling,100.2
2015,Australia,Other municipal waste,1335
2000,OECD Asia Oceania,Municipal waste generated,92016.805
2001,OECD Asia Oceania,Municipal waste generated,92159.57
2002,OECD Asia Oceania,Municipal waste generated,92374.633
2003,OECD Asia Oceania,Municipal waste generated,92738.32
2004,OECD Asia Oceania,Municipal waste generated,91761.148
2005,OECD Asia Oceania,Municipal waste generated,90554.039
2006,OECD Asia Oceania,Municipal waste generated,90090.242
2007,OECD Asia Oceania,Municipal waste generated,89281.555
2008,OECD Asia Oceania,Municipal waste generated,87400.375
2009,OECD Asia Oceania,Municipal waste generated,85315.578
2010,OECD Asia Oceania,Municipal waste generated,83972.773
2011,OECD Asia Oceania,Municipal waste generated,84011.32
2012,OECD Asia Oceania,Municipal waste generated,83811.289
2013,OECD Asia Oceania,Municipal waste generated,83433.148
2014,OECD Asia Oceania,Municipal waste generated,83531.898
2015,OECD Asia Oceania,Municipal waste generated,84333.188
2016,OECD Asia Oceania,Municipal waste generated,84807.953
2017,OECD Asia Oceania,Municipal waste generated,85057.195
2000,OECD America,Municipal waste generated,276382.313
2001,OECD America,Municipal waste generated,275123.969
2002,OECD America,Municipal waste generated,280454.719
2003,OECD America,Municipal waste generated,282751.281
2004,OECD America,Municipal waste generated,292006.656
2005,OECD America,Municipal waste generated,293030.594
2006,OECD America,Municipal waste generated,297247.594
2007,OECD America,Municipal waste generated,297850.719
2008,OECD America,Municipal waste generated,295440.406
2009,OECD America,Municipal waste generated,289569.938
2010,OECD America,Municipal waste generated,297263.438
2011,OECD America,Municipal waste generated,298768.313
2012,OECD America,Municipal waste generated,300912.813
2013,OECD America,Municipal waste generated,304164.031
2014,OECD America,Municipal waste generated,307671.938
2015,OECD America,Municipal waste generated,307882.906
2016,OECD America,Municipal waste generated,307925.281
2017,OECD America,Municipal waste generated,307925.281
2016,Costa Rica,Waste from households,1147
2017,Costa Rica,Waste from households,898
2016,Costa Rica,Other municipal waste,71
2017,Costa Rica,Other municipal waste,369
2014,Turkey,Waste from households,22605
2016,Turkey,Waste from households,23811
2017,Turkey,Waste from households,24100
2014,Turkey,Other municipal waste,8625
2016,Turkey,Other municipal waste,9952
2017,Turkey,Other municipal waste,10073
