Country,Year,Variable,Unit,Value
Chile,2014,Connected to a wastewater treatment plant without treatment,Percentage,0
Chile,2015,Connected to a wastewater treatment plant without treatment,Percentage,0
Chile,2016,Connected to a wastewater treatment plant without treatment,Percentage,0
Chile,2017,Connected to a wastewater treatment plant without treatment,Percentage,0
Estonia,2000,Connected to a wastewater treatment plant without treatment,Percentage,1
Estonia,2005,Connected to a wastewater treatment plant without treatment,Percentage,0
Estonia,2010,Connected to a wastewater treatment plant without treatment,Percentage,0
Estonia,2011,Connected to a wastewater treatment plant without treatment,Percentage,0
Estonia,2012,Connected to a wastewater treatment plant without treatment,Percentage,5
Estonia,2013,Connected to a wastewater treatment plant without treatment,Percentage,0.15
Estonia,2014,Connected to a wastewater treatment plant without treatment,Percentage,4
Estonia,2015,Connected to a wastewater treatment plant without treatment,Percentage,0
Estonia,2016,Connected to a wastewater treatment plant without treatment,Percentage,0
Estonia,2017,Connected to a wastewater treatment plant without treatment,Percentage,0
Israel,1980,Connected to a wastewater treatment plant without treatment,Percentage,22.79999924
Israel,2000,Connected to a wastewater treatment plant without treatment,Percentage,7.7
Israel,2005,Connected to a wastewater treatment plant without treatment,Percentage,4.1
Israel,2010,Connected to a wastewater treatment plant without treatment,Percentage,2.6
Israel,2011,Connected to a wastewater treatment plant without treatment,Percentage,2.2
Israel,2012,Connected to a wastewater treatment plant without treatment,Percentage,2.2
Israel,2013,Connected to a wastewater treatment plant without treatment,Percentage,2.2
Israel,2014,Connected to a wastewater treatment plant without treatment,Percentage,2.2
Israel,2015,Connected to a wastewater treatment plant without treatment,Percentage,2.2
Israel,2016,Connected to a wastewater treatment plant without treatment,Percentage,2.2
Israel,2017,Connected to a wastewater treatment plant without treatment,Percentage,2.3
Slovenia,2000,Connected to a wastewater treatment plant without treatment,Percentage,26.4
Slovenia,2005,Connected to a wastewater treatment plant without treatment,Percentage,12.7
Slovenia,2010,Connected to a wastewater treatment plant without treatment,Percentage,10.9
Slovenia,2011,Connected to a wastewater treatment plant without treatment,Percentage,8.2
Slovenia,2012,Connected to a wastewater treatment plant without treatment,Percentage,8.9
Slovenia,2013,Connected to a wastewater treatment plant without treatment,Percentage,7.5
Slovenia,2014,Connected to a wastewater treatment plant without treatment,Percentage,7.3
Slovenia,2015,Connected to a wastewater treatment plant without treatment,Percentage,6.1
Slovenia,2016,Connected to a wastewater treatment plant without treatment,Percentage,5
Slovenia,2017,Connected to a wastewater treatment plant without treatment,Percentage,4.8
Austria,1970,Primary treatment,Percentage,12
Austria,1980,Primary treatment,Percentage,10
Austria,2000,Primary treatment,Percentage,0
Austria,2010,Primary treatment,Percentage,0
Austria,2012,Primary treatment,Percentage,0
Austria,2014,Primary treatment,Percentage,0
Austria,2016,Primary treatment,Percentage,0
Belgium,1970,Primary treatment,Percentage,0
Belgium,1980,Primary treatment,Percentage,0
Belgium,2000,Primary treatment,Percentage,0
Belgium,2005,Primary treatment,Percentage,0
Belgium,2010,Primary treatment,Percentage,0
Belgium,2011,Primary treatment,Percentage,0
Belgium,2012,Primary treatment,Percentage,0
Belgium,2013,Primary treatment,Percentage,0
Belgium,2014,Primary treatment,Percentage,0
Belgium,2015,Primary treatment,Percentage,0
Belgium,2016,Primary treatment,Percentage,0
Belgium,2017,Primary treatment,Percentage,0
Czech Republic,2005,Primary treatment,Percentage,0.2
Czech Republic,2010,Primary treatment,Percentage,0.1
Czech Republic,2011,Primary treatment,Percentage,0.2
Czech Republic,2012,Primary treatment,Percentage,0.1
Czech Republic,2013,Primary treatment,Percentage,0.2
Czech Republic,2014,Primary treatment,Percentage,0.1
Czech Republic,2015,Primary treatment,Percentage,0.1
Czech Republic,2016,Primary treatment,Percentage,0.1
Czech Republic,2017,Primary treatment,Percentage,0.1
Denmark,1970,Primary treatment,Percentage,24.6
Denmark,2000,Primary treatment,Percentage,0.7
Denmark,2010,Primary treatment,Percentage,2.4
Denmark,2011,Primary treatment,Percentage,2.4
Denmark,2012,Primary treatment,Percentage,2.3
Denmark,2013,Primary treatment,Percentage,0.8
Denmark,2014,Primary treatment,Percentage,0
Denmark,2015,Primary treatment,Percentage,0.2
Denmark,2016,Primary treatment,Percentage,0.2
Denmark,2017,Primary treatment,Percentage,0.2
Finland,1970,Primary treatment,Percentage,16
Finland,1980,Primary treatment,Percentage,4
Finland,2000,Primary treatment,Percentage,0
Finland,2010,Primary treatment,Percentage,0
Finland,2011,Primary treatment,Percentage,0
Finland,2012,Primary treatment,Percentage,0
Finland,2013,Primary treatment,Percentage,0
Finland,2014,Primary treatment,Percentage,0
France,2010,Primary treatment,Percentage,0
France,2011,Primary treatment,Percentage,0
France,2012,Primary treatment,Percentage,0.4
France,2013,Primary treatment,Percentage,0
France,2014,Primary treatment,Percentage,0
France,2015,Primary treatment,Percentage,0
France,2016,Primary treatment,Percentage,0
France,2017,Primary treatment,Percentage,0
Germany,2005,Primary treatment,Percentage,0
Germany,2010,Primary treatment,Percentage,0
Germany,2011,Primary treatment,Percentage,0
Germany,2012,Primary treatment,Percentage,0.02
Germany,2013,Primary treatment,Percentage,0.02
Germany,2014,Primary treatment,Percentage,0.02
Germany,2015,Primary treatment,Percentage,0.02
Germany,2016,Primary treatment,Percentage,0.02
Greece,1980,Primary treatment,Percentage,0
Greece,2010,Primary treatment,Percentage,0
Greece,2011,Primary treatment,Percentage,0
Greece,2012,Primary treatment,Percentage,0
Greece,2013,Primary treatment,Percentage,0
Greece,2014,Primary treatment,Percentage,0
Greece,2015,Primary treatment,Percentage,0
Greece,2016,Primary treatment,Percentage,0
Hungary,1970,Primary treatment,Percentage,2
Hungary,1980,Primary treatment,Percentage,7
Hungary,2000,Primary treatment,Percentage,16.2
Hungary,2005,Primary treatment,Percentage,18.9
Hungary,2010,Primary treatment,Percentage,2.3
Hungary,2011,Primary treatment,Percentage,1.4
Hungary,2012,Primary treatment,Percentage,0.1
Hungary,2013,Primary treatment,Percentage,0.08
Hungary,2014,Primary treatment,Percentage,0.1
Hungary,2015,Primary treatment,Percentage,0.12
Hungary,2016,Primary treatment,Percentage,0.07
Hungary,2017,Primary treatment,Percentage,0.07
Iceland,2000,Primary treatment,Percentage,33
Iceland,2005,Primary treatment,Percentage,55
Iceland,2010,Primary treatment,Percentage,65
Ireland,1980,Primary treatment,Percentage,0.2
Ireland,2011,Primary treatment,Percentage,1.379999995
Ireland,2012,Primary treatment,Percentage,1.1
Ireland,2013,Primary treatment,Percentage,1.02
Ireland,2014,Primary treatment,Percentage,0.94
Ireland,2015,Primary treatment,Percentage,0.87
Ireland,2016,Primary treatment,Percentage,0.79
Ireland,2017,Primary treatment,Percentage,0.79
Italy,1970,Primary treatment,Percentage,8
Italy,2005,Primary treatment,Percentage,2.3
Italy,2012,Primary treatment,Percentage,3.3
Italy,2015,Primary treatment,Percentage,2.9
Korea,2000,Primary treatment,Percentage,1.100000024
Korea,2005,Primary treatment,Percentage,0.699999988
Korea,2010,Primary treatment,Percentage,0
Korea,2011,Primary treatment,Percentage,2.26E-06
Korea,2012,Primary treatment,Percentage,-3.46E-06
Korea,2013,Primary treatment,Percentage,0.01
Korea,2014,Primary treatment,Percentage,0.01
Korea,2015,Primary treatment,Percentage,0.01
Korea,2016,Primary treatment,Percentage,0
Luxembourg,1970,Primary treatment,Percentage,23
Luxembourg,1980,Primary treatment,Percentage,16
Luxembourg,2010,Primary treatment,Percentage,4.4
Luxembourg,2011,Primary treatment,Percentage,4.1
Luxembourg,2012,Primary treatment,Percentage,2
Luxembourg,2013,Primary treatment,Percentage,1.9
Luxembourg,2014,Primary treatment,Percentage,1.8
Luxembourg,2015,Primary treatment,Percentage,1.9
Luxembourg,2016,Primary treatment,Percentage,1.6
Luxembourg,2017,Primary treatment,Percentage,1.6
Netherlands,1970,Primary treatment,Percentage,15
Netherlands,1980,Primary treatment,Percentage,7.9
Netherlands,2000,Primary treatment,Percentage,0
Netherlands,2005,Primary treatment,Percentage,0
Netherlands,2010,Primary treatment,Percentage,0
Netherlands,2011,Primary treatment,Percentage,0
Netherlands,2012,Primary treatment,Percentage,0
Netherlands,2013,Primary treatment,Percentage,0
Netherlands,2014,Primary treatment,Percentage,0
Netherlands,2015,Primary treatment,Percentage,0
Netherlands,2016,Primary treatment,Percentage,0
Netherlands,2017,Primary treatment,Percentage,0
New Zealand,2000,Primary treatment,Percentage,14
Norway,1970,Primary treatment,Percentage,1
Norway,1980,Primary treatment,Percentage,7
Norway,2000,Primary treatment,Percentage,22.1
Norway,2005,Primary treatment,Percentage,20.6
Norway,2010,Primary treatment,Percentage,21.9
Norway,2011,Primary treatment,Percentage,19.9
Norway,2012,Primary treatment,Percentage,19.1
Norway,2013,Primary treatment,Percentage,19.3
Norway,2014,Primary treatment,Percentage,19.4
Norway,2015,Primary treatment,Percentage,18.1
Norway,2016,Primary treatment,Percentage,21.8
Norway,2017,Primary treatment,Percentage,21.3
Poland,2000,Primary treatment,Percentage,3.4
Poland,2005,Primary treatment,Percentage,2.1
Poland,2010,Primary treatment,Percentage,0.1
Poland,2011,Primary treatment,Percentage,0.1
Poland,2012,Primary treatment,Percentage,0.2
Poland,2013,Primary treatment,Percentage,0.1
Poland,2014,Primary treatment,Percentage,0
Poland,2015,Primary treatment,Percentage,0
Poland,2016,Primary treatment,Percentage,0
Poland,2017,Primary treatment,Percentage,0
Portugal,2005,Primary treatment,Percentage,10.9
Portugal,2017,Primary treatment,Percentage,6.97
Spain,1980,Primary treatment,Percentage,8.8
Spain,2000,Primary treatment,Percentage,1
Spain,2005,Primary treatment,Percentage,1
Spain,2010,Primary treatment,Percentage,3
Spain,2011,Primary treatment,Percentage,0.6
Spain,2012,Primary treatment,Percentage,0.6
Spain,2014,Primary treatment,Percentage,1.7
Sweden,1970,Primary treatment,Percentage,19
Sweden,1980,Primary treatment,Percentage,1
Sweden,2000,Primary treatment,Percentage,0
Sweden,2005,Primary treatment,Percentage,0
Sweden,2010,Primary treatment,Percentage,0
Sweden,2011,Primary treatment,Percentage,0
Sweden,2012,Primary treatment,Percentage,0
Sweden,2013,Primary treatment,Percentage,0
Sweden,2014,Primary treatment,Percentage,0
Sweden,2015,Primary treatment,Percentage,0
Sweden,2016,Primary treatment,Percentage,0
Sweden,2017,Primary treatment,Percentage,0
Switzerland,1970,Primary treatment,Percentage,0
Switzerland,1980,Primary treatment,Percentage,0
Switzerland,2000,Primary treatment,Percentage,0
Switzerland,2005,Primary treatment,Percentage,0
Switzerland,2010,Primary treatment,Percentage,0
Switzerland,2013,Primary treatment,Percentage,0
Turkey,2000,Primary treatment,Percentage,8
Turkey,2005,Primary treatment,Percentage,13.6
Turkey,2010,Primary treatment,Percentage,14.5
Turkey,2012,Primary treatment,Percentage,16.3
Turkey,2013,Primary treatment,Percentage,20.89
Turkey,2014,Primary treatment,Percentage,20.9
Turkey,2015,Primary treatment,Percentage,14.51
Turkey,2016,Primary treatment,Percentage,14.4
United Kingdom,2010,Primary treatment,Percentage,0
United Kingdom,2014,Primary treatment,Percentage,0
United States,2000,Primary treatment,Percentage,2.299999952
United States,2012,Primary treatment,Percentage,1.3
Chile,2005,Primary treatment,Percentage,21.70000076
Chile,2010,Primary treatment,Percentage,21.83530045
Chile,2011,Primary treatment,Percentage,23.06290054
Chile,2012,Primary treatment,Percentage,23.8
Chile,2013,Primary treatment,Percentage,23.8
Chile,2014,Primary treatment,Percentage,22.4
Chile,2015,Primary treatment,Percentage,22.3
Chile,2016,Primary treatment,Percentage,24.11
Chile,2017,Primary treatment,Percentage,26.73
Estonia,2000,Primary treatment,Percentage,1
Estonia,2005,Primary treatment,Percentage,1
Estonia,2010,Primary treatment,Percentage,0.5
Estonia,2011,Primary treatment,Percentage,0.6
Estonia,2012,Primary treatment,Percentage,0.6
Estonia,2013,Primary treatment,Percentage,0.1
Estonia,2014,Primary treatment,Percentage,0
Estonia,2015,Primary treatment,Percentage,0.05
Estonia,2016,Primary treatment,Percentage,0.08
Estonia,2017,Primary treatment,Percentage,0.03
Israel,1980,Primary treatment,Percentage,23.89999962
Israel,2000,Primary treatment,Percentage,11.8
Israel,2005,Primary treatment,Percentage,8.9
Israel,2010,Primary treatment,Percentage,5.9
Israel,2011,Primary treatment,Percentage,5.7
Israel,2012,Primary treatment,Percentage,5.5
Israel,2013,Primary treatment,Percentage,5.3
Israel,2014,Primary treatment,Percentage,5.1
Israel,2015,Primary treatment,Percentage,5
Israel,2016,Primary treatment,Percentage,4.9
Israel,2017,Primary treatment,Percentage,4.8
Slovenia,2000,Primary treatment,Percentage,10
Slovenia,2005,Primary treatment,Percentage,5
Slovenia,2010,Primary treatment,Percentage,0.4
Slovenia,2011,Primary treatment,Percentage,0.4
Slovenia,2012,Primary treatment,Percentage,0.5
Slovenia,2013,Primary treatment,Percentage,0.5
Slovenia,2014,Primary treatment,Percentage,0.4
Slovenia,2015,Primary treatment,Percentage,0
Slovenia,2016,Primary treatment,Percentage,0
Slovenia,2017,Primary treatment,Percentage,0
Austria,1970,Secondary treatment,Percentage,5
Austria,1980,Secondary treatment,Percentage,25
Austria,2010,Secondary treatment,Percentage,1.3
Austria,2012,Secondary treatment,Percentage,1
Austria,2014,Secondary treatment,Percentage,1.2
Austria,2016,Secondary treatment,Percentage,1.2
Belgium,1970,Secondary treatment,Percentage,3.8
Belgium,1980,Secondary treatment,Percentage,22.9
Belgium,2000,Secondary treatment,Percentage,5.5
Belgium,2005,Secondary treatment,Percentage,7.7
Belgium,2010,Secondary treatment,Percentage,8.6
Belgium,2011,Secondary treatment,Percentage,8.3
Belgium,2012,Secondary treatment,Percentage,10.18
Belgium,2013,Secondary treatment,Percentage,10.86
Belgium,2014,Secondary treatment,Percentage,5.76
Belgium,2015,Secondary treatment,Percentage,6.14
Belgium,2016,Secondary treatment,Percentage,7.32
Belgium,2017,Secondary treatment,Percentage,8.37
Czech Republic,2005,Secondary treatment,Percentage,16.9
Czech Republic,2010,Secondary treatment,Percentage,8.7
Czech Republic,2011,Secondary treatment,Percentage,7.9
Czech Republic,2012,Secondary treatment,Percentage,8.6
Czech Republic,2013,Secondary treatment,Percentage,8.2
Czech Republic,2014,Secondary treatment,Percentage,8.8
Czech Republic,2015,Secondary treatment,Percentage,8.7
Czech Republic,2016,Secondary treatment,Percentage,8.6
Czech Republic,2017,Secondary treatment,Percentage,8.4
Denmark,1970,Secondary treatment,Percentage,22.9
Denmark,2000,Secondary treatment,Percentage,4.4
Denmark,2010,Secondary treatment,Percentage,2.4
Denmark,2011,Secondary treatment,Percentage,1.9
Denmark,2012,Secondary treatment,Percentage,1.8
Denmark,2013,Secondary treatment,Percentage,1.9
Denmark,2014,Secondary treatment,Percentage,2
Denmark,2015,Secondary treatment,Percentage,1.7
Denmark,2016,Secondary treatment,Percentage,1.8
Denmark,2017,Secondary treatment,Percentage,1.4
Finland,1970,Secondary treatment,Percentage,11
Finland,1980,Secondary treatment,Percentage,1
Finland,2000,Secondary treatment,Percentage,0
Finland,2010,Secondary treatment,Percentage,0
Finland,2011,Secondary treatment,Percentage,0
Finland,2012,Secondary treatment,Percentage,0
Finland,2013,Secondary treatment,Percentage,0
Finland,2014,Secondary treatment,Percentage,0
France,2010,Secondary treatment,Percentage,13.2
France,2011,Secondary treatment,Percentage,15.8
France,2012,Secondary treatment,Percentage,16.1
France,2013,Secondary treatment,Percentage,16
France,2014,Secondary treatment,Percentage,14
France,2015,Secondary treatment,Percentage,14
France,2016,Secondary treatment,Percentage,12
France,2017,Secondary treatment,Percentage,11
Germany,2005,Secondary treatment,Percentage,1.4
Germany,2010,Secondary treatment,Percentage,3
Germany,2011,Secondary treatment,Percentage,2.8
Germany,2012,Secondary treatment,Percentage,2.65
Germany,2013,Secondary treatment,Percentage,2.5
Germany,2014,Secondary treatment,Percentage,2.38
Germany,2015,Secondary treatment,Percentage,2.26
Germany,2016,Secondary treatment,Percentage,2.14
Greece,1980,Secondary treatment,Percentage,0.5
Greece,2010,Secondary treatment,Percentage,7.8
Greece,2011,Secondary treatment,Percentage,6.2
Greece,2012,Secondary treatment,Percentage,6.28
Greece,2013,Secondary treatment,Percentage,3.6
Greece,2014,Secondary treatment,Percentage,3.6
Greece,2015,Secondary treatment,Percentage,6.44
Greece,2016,Secondary treatment,Percentage,6.44
Hungary,1970,Secondary treatment,Percentage,4
Hungary,1980,Secondary treatment,Percentage,12
Hungary,2000,Secondary treatment,Percentage,24.3
Hungary,2005,Secondary treatment,Percentage,20.4
Hungary,2010,Secondary treatment,Percentage,36.4
Hungary,2011,Secondary treatment,Percentage,34
Hungary,2012,Secondary treatment,Percentage,17.9
Hungary,2013,Secondary treatment,Percentage,16.67
Hungary,2014,Secondary treatment,Percentage,15.09
Hungary,2015,Secondary treatment,Percentage,10.07
Hungary,2016,Secondary treatment,Percentage,9.44
Hungary,2017,Secondary treatment,Percentage,7.12
Iceland,2000,Secondary treatment,Percentage,0
Iceland,2005,Secondary treatment,Percentage,2
Iceland,2010,Secondary treatment,Percentage,0
Ireland,1980,Secondary treatment,Percentage,11
Ireland,2011,Secondary treatment,Percentage,49
Ireland,2012,Secondary treatment,Percentage,42.27
Ireland,2013,Secondary treatment,Percentage,41.75
Ireland,2014,Secondary treatment,Percentage,41.24
Ireland,2015,Secondary treatment,Percentage,40.73
Ireland,2016,Secondary treatment,Percentage,40.24
Ireland,2017,Secondary treatment,Percentage,40.24
Italy,1970,Secondary treatment,Percentage,6
Italy,2005,Secondary treatment,Percentage,18.3
Italy,2012,Secondary treatment,Percentage,22.4
Italy,2015,Secondary treatment,Percentage,18.7
Japan,1970,Secondary treatment,Percentage,16
Japan,1980,Secondary treatment,Percentage,30
Japan,2000,Secondary treatment,Percentage,54
Japan,2005,Secondary treatment,Percentage,55.25640106
Japan,2010,Secondary treatment,Percentage,54.90000153
Japan,2011,Secondary treatment,Percentage,55.4117012
Japan,2012,Secondary treatment,Percentage,53.9
Japan,2013,Secondary treatment,Percentage,52.8
Japan,2014,Secondary treatment,Percentage,51.8
Japan,2015,Secondary treatment,Percentage,50.8
Japan,2016,Secondary treatment,Percentage,50.4
Korea,2000,Secondary treatment,Percentage,68
Korea,2005,Secondary treatment,Percentage,64.69999695
Korea,2010,Secondary treatment,Percentage,35.5
Korea,2011,Secondary treatment,Percentage,32.09999847
Korea,2012,Secondary treatment,Percentage,31.10000038
Korea,2013,Secondary treatment,Percentage,10.03
Korea,2014,Secondary treatment,Percentage,9.08
Korea,2015,Secondary treatment,Percentage,8.31
Korea,2016,Secondary treatment,Percentage,4.075901069
Luxembourg,1970,Secondary treatment,Percentage,5
Luxembourg,1980,Secondary treatment,Percentage,65
Luxembourg,2010,Secondary treatment,Percentage,62
Luxembourg,2011,Secondary treatment,Percentage,59.9
Luxembourg,2012,Secondary treatment,Percentage,27.3
Luxembourg,2013,Secondary treatment,Percentage,26.5
Luxembourg,2014,Secondary treatment,Percentage,26.7
Luxembourg,2015,Secondary treatment,Percentage,25.3
Luxembourg,2016,Secondary treatment,Percentage,20.3
Luxembourg,2017,Secondary treatment,Percentage,21.8
Netherlands,1970,Secondary treatment,Percentage,29
Netherlands,1980,Secondary treatment,Percentage,61.9
Netherlands,2000,Secondary treatment,Percentage,16.5
Netherlands,2005,Secondary treatment,Percentage,2.5
Netherlands,2010,Secondary treatment,Percentage,1.3
Netherlands,2011,Secondary treatment,Percentage,1.1
Netherlands,2012,Secondary treatment,Percentage,1.1
Netherlands,2013,Secondary treatment,Percentage,1
Netherlands,2014,Secondary treatment,Percentage,1
Netherlands,2015,Secondary treatment,Percentage,0.9
Netherlands,2016,Secondary treatment,Percentage,0.8
Netherlands,2017,Secondary treatment,Percentage,0.8
New Zealand,2000,Secondary treatment,Percentage,26
Norway,1970,Secondary treatment,Percentage,0
Norway,1980,Secondary treatment,Percentage,1
Norway,2000,Secondary treatment,Percentage,0.9
Norway,2005,Secondary treatment,Percentage,1.4
Norway,2010,Secondary treatment,Percentage,1.6
Norway,2011,Secondary treatment,Percentage,1.6
Norway,2012,Secondary treatment,Percentage,1.4
Norway,2013,Secondary treatment,Percentage,1.4
Norway,2014,Secondary treatment,Percentage,1.6
Norway,2015,Secondary treatment,Percentage,1.6
Norway,2016,Secondary treatment,Percentage,2.5
Norway,2017,Secondary treatment,Percentage,3.9
Poland,2000,Secondary treatment,Percentage,30.1
Poland,2005,Secondary treatment,Percentage,20.8
Poland,2010,Secondary treatment,Percentage,14.9
Poland,2011,Secondary treatment,Percentage,13.3
Poland,2012,Secondary treatment,Percentage,13.9
Poland,2013,Secondary treatment,Percentage,14.2
Poland,2014,Secondary treatment,Percentage,13.8
Poland,2015,Secondary treatment,Percentage,13.7
Poland,2016,Secondary treatment,Percentage,13.7
Poland,2017,Secondary treatment,Percentage,14
Portugal,2005,Secondary treatment,Percentage,27.4
Portugal,2017,Secondary treatment,Percentage,46.66
Slovak Republic,2013,Secondary treatment,Percentage,58.31
Slovak Republic,2014,Secondary treatment,Percentage,59.87
Slovak Republic,2015,Secondary treatment,Percentage,60.63
Slovak Republic,2016,Secondary treatment,Percentage,61.8
Slovak Republic,2017,Secondary treatment,Percentage,63.2
Spain,1980,Secondary treatment,Percentage,9.1
Spain,2000,Secondary treatment,Percentage,65
Spain,2010,Secondary treatment,Percentage,33
Spain,2012,Secondary treatment,Percentage,28.1
Spain,2014,Secondary treatment,Percentage,23.9
Sweden,1970,Secondary treatment,Percentage,41
Sweden,1980,Secondary treatment,Percentage,20
Sweden,2000,Secondary treatment,Percentage,5
Sweden,2005,Secondary treatment,Percentage,5
Sweden,2010,Secondary treatment,Percentage,4
Sweden,2011,Secondary treatment,Percentage,4
Sweden,2012,Secondary treatment,Percentage,4
Sweden,2013,Secondary treatment,Percentage,4
Sweden,2014,Secondary treatment,Percentage,4
Sweden,2015,Secondary treatment,Percentage,4
Sweden,2016,Secondary treatment,Percentage,4
Sweden,2017,Secondary treatment,Percentage,4
Switzerland,1970,Secondary treatment,Percentage,35
Switzerland,1980,Secondary treatment,Percentage,32
Switzerland,2000,Secondary treatment,Percentage,22
Switzerland,2005,Secondary treatment,Percentage,20
Switzerland,2010,Secondary treatment,Percentage,20
Switzerland,2013,Secondary treatment,Percentage,11
Turkey,2000,Secondary treatment,Percentage,14.6
Turkey,2005,Secondary treatment,Percentage,18.5
Turkey,2010,Secondary treatment,Percentage,19.8
Turkey,2012,Secondary treatment,Percentage,20.2
Turkey,2013,Secondary treatment,Percentage,24.48
Turkey,2014,Secondary treatment,Percentage,24.8
Turkey,2015,Secondary treatment,Percentage,23.69
Turkey,2016,Secondary treatment,Percentage,23.88
United Kingdom,2000,Secondary treatment,Percentage,64
United Kingdom,2005,Secondary treatment,Percentage,56
United Kingdom,2010,Secondary treatment,Percentage,49.6
United Kingdom,2014,Secondary treatment,Percentage,43
United States,2000,Secondary treatment,Percentage,32
United States,2012,Secondary treatment,Percentage,28.5
Estonia,1980,Secondary treatment,Percentage,28
Estonia,2000,Secondary treatment,Percentage,28
Estonia,2005,Secondary treatment,Percentage,25
Estonia,2010,Secondary treatment,Percentage,13.6
Estonia,2011,Secondary treatment,Percentage,13.3
Estonia,2012,Secondary treatment,Percentage,7
Estonia,2013,Secondary treatment,Percentage,5
Estonia,2014,Secondary treatment,Percentage,5
Estonia,2015,Secondary treatment,Percentage,3.9
Estonia,2016,Secondary treatment,Percentage,3.7
Estonia,2017,Secondary treatment,Percentage,3.3
Israel,1980,Secondary treatment,Percentage,23
Israel,2000,Secondary treatment,Percentage,39.2
Israel,2005,Secondary treatment,Percentage,42.9
Israel,2010,Secondary treatment,Percentage,39.1
Israel,2011,Secondary treatment,Percentage,39.3
Israel,2012,Secondary treatment,Percentage,39
Israel,2013,Secondary treatment,Percentage,38.6
Israel,2014,Secondary treatment,Percentage,38.2
Israel,2015,Secondary treatment,Percentage,37.6
Israel,2016,Secondary treatment,Percentage,37
Israel,2017,Secondary treatment,Percentage,37.1
Slovenia,2000,Secondary treatment,Percentage,10.9
Slovenia,2005,Secondary treatment,Percentage,21.2
Slovenia,2010,Secondary treatment,Percentage,35
Slovenia,2011,Secondary treatment,Percentage,35.6
Slovenia,2012,Secondary treatment,Percentage,34.8
Slovenia,2013,Secondary treatment,Percentage,33
Slovenia,2014,Secondary treatment,Percentage,32.3
Slovenia,2015,Secondary treatment,Percentage,30.5
Slovenia,2016,Secondary treatment,Percentage,28.6
Slovenia,2017,Secondary treatment,Percentage,24.3
Austria,1970,Tertiary treatment,Percentage,0
Austria,1980,Tertiary treatment,Percentage,3
Austria,2010,Tertiary treatment,Percentage,92.6
Austria,2012,Tertiary treatment,Percentage,93.5
Austria,2014,Tertiary treatment,Percentage,93.8
Austria,2016,Tertiary treatment,Percentage,94
Belgium,1970,Tertiary treatment,Percentage,0
Belgium,1980,Tertiary treatment,Percentage,0
Belgium,2000,Tertiary treatment,Percentage,35.6
Belgium,2005,Tertiary treatment,Percentage,46.7
Belgium,2010,Tertiary treatment,Percentage,66.4
Belgium,2011,Tertiary treatment,Percentage,68.9
Belgium,2012,Tertiary treatment,Percentage,64.76
Belgium,2013,Tertiary treatment,Percentage,65.56
Belgium,2014,Tertiary treatment,Percentage,72.48
Belgium,2015,Tertiary treatment,Percentage,74.32
Belgium,2016,Tertiary treatment,Percentage,74.61
Belgium,2017,Tertiary treatment,Percentage,74.59
Czech Republic,2005,Tertiary treatment,Percentage,55.9
Czech Republic,2010,Tertiary treatment,Percentage,68.2
Czech Republic,2011,Tertiary treatment,Percentage,70.1
Czech Republic,2012,Tertiary treatment,Percentage,69.4
Czech Republic,2013,Tertiary treatment,Percentage,71.6
Czech Republic,2014,Tertiary treatment,Percentage,71
Czech Republic,2015,Tertiary treatment,Percentage,72
Czech Republic,2016,Tertiary treatment,Percentage,72.6
Czech Republic,2017,Tertiary treatment,Percentage,73.9
Denmark,1970,Tertiary treatment,Percentage,0
Denmark,2000,Tertiary treatment,Percentage,82.7
Denmark,2010,Tertiary treatment,Percentage,85.6
Denmark,2011,Tertiary treatment,Percentage,86.5
Denmark,2012,Tertiary treatment,Percentage,86.6
Denmark,2013,Tertiary treatment,Percentage,88.2
Denmark,2014,Tertiary treatment,Percentage,89
Denmark,2015,Tertiary treatment,Percentage,89.1
Denmark,2016,Tertiary treatment,Percentage,89.7
Denmark,2017,Tertiary treatment,Percentage,90.4
Finland,1970,Tertiary treatment,Percentage,0
Finland,1980,Tertiary treatment,Percentage,59
Finland,2000,Tertiary treatment,Percentage,80
Finland,2010,Tertiary treatment,Percentage,83
Finland,2011,Tertiary treatment,Percentage,83
Finland,2012,Tertiary treatment,Percentage,83
Finland,2013,Tertiary treatment,Percentage,83
Finland,2014,Tertiary treatment,Percentage,85
France,2010,Tertiary treatment,Percentage,64.5
France,2011,Tertiary treatment,Percentage,64
France,2012,Tertiary treatment,Percentage,64
France,2013,Tertiary treatment,Percentage,64
France,2014,Tertiary treatment,Percentage,65
France,2015,Tertiary treatment,Percentage,66
France,2016,Tertiary treatment,Percentage,68
France,2017,Tertiary treatment,Percentage,69
Germany,2005,Tertiary treatment,Percentage,95.9
Germany,2010,Tertiary treatment,Percentage,92.6
Germany,2011,Tertiary treatment,Percentage,92.7
Germany,2012,Tertiary treatment,Percentage,92.76
Germany,2013,Tertiary treatment,Percentage,92.85
Germany,2014,Tertiary treatment,Percentage,93.18
Germany,2015,Tertiary treatment,Percentage,93.51
Germany,2016,Tertiary treatment,Percentage,93.83
Greece,2010,Tertiary treatment,Percentage,79.6
Greece,2011,Tertiary treatment,Percentage,82
Greece,2012,Tertiary treatment,Percentage,85.75
Greece,2013,Tertiary treatment,Percentage,89.3
Greece,2014,Tertiary treatment,Percentage,89.3
Greece,2015,Tertiary treatment,Percentage,86.96
Greece,2016,Tertiary treatment,Percentage,86.96
Hungary,1970,Tertiary treatment,Percentage,0
